User_ID;User_Name;CFC;Izquierda;Derecha;Libertario;Centro
980436670297276418;proconsumidor1;7668952;30.9734;28.7611;0;40.2655
1313168124280221697;Revistaaustral;1313168124280221697;0;0;0;0
778807526280142848;AscSoluciones;778807526280142848;0;0;0;0
327379661;LuisAlbertoBus2;327379661;0;0;0;0
732130069;oalbornoztorres;732130069;0;0;0;0
414232229;WURNCFILMS;414232229;0;0;0;0
238821261;karen_barrios;238821261;0;0;0;0
104688238;kenneth316;104688238;0;0;0;0
2374566949;aroma_lavanda;2374566949;0;0;0;0
1394332738958905350;PersonalGlo;1394332738958905350;0;0;0;0
2363047302;Miguel7Gmail;2363047302;0;0;0;0
48189152;vaca_maldita;48189152;0;0;0;0
1316121520276680707;SETAC_Chile;1316121520276680707;0;0;0;0
1301697287119400960;_pabrus;1301697287119400960;0;0;0;0
334838157;flordelizchile;334838157;0;0;0;0
1238258013661773827;csbiobio;1238258013661773827;0;0;0;0
1392317615549394945;ojalaOrquidea;1392317615549394945;0;0;0;0
198169433;gabi_fontanarro;198169433;0;0;0;0
275250016;alexromandiaz;275250016;0;0;0;0
1234533421340413952;Erekta0;1234533421340413952;0;0;0;0
3087778018;BabesAndBikes;3087778018;0;0;0;0
1381327277192003585;grupoparlament5;1381327277192003585;0;0;0;0
740731615207395328;bristolvalpo;740731615207395328;0;0;0;0
2890023723;Beba318636Wendy;2890023723;0;0;0;0
1256298186009870336;cas9123;1256298186009870336;0;0;0;0
1163170285;josephr2604;1163170285;0;0;0;0
182519246;waltermarquezr;182519246;0;0;0;0
7385252;moujicantillano;7385252;0;0;0;0
5752782;pabLock;5752782;0;0;0;0
1278325821070020614;WinderSlide;1278325821070020614;0;0;0;0
634590860;fedepescaosorno;634590860;0;0;0;0
3070356004;mginmobiliaria9;3070356004;0;0;0;0
770611121661349888;Sandra_Estheer;770611121661349888;0;0;0;0
2720232541;PaulTheAuthor;2720232541;0;0;0;0
107801352;kotenacu;107801352;0;0;0;0
1267489644331048960;martinaavl;1267489644331048960;0;0;0;0
111065378;magallanesbbc20;111065378;0;0;0;0
1189611056458600448;hipocritasNo09_;1189611056458600448;0;0;0;0
1399008680;Mr60M;1399008680;0;0;0;0
3165842205;yaseminersoy76;3165842205;0;0;0;0
1228756350315978754;Wuachona0_;1228756350315978754;0;0;0;0
1245005048;Elioita;1245005048;0;0;0;0
1266165766279368705;sinasuntop;1266165766279368705;0;0;0;0
556406367;Ivn_V;556406367;0;0;0;0
1162002225092321281;JuandDOyarzun;1162002225092321281;0;0;0;0
1131300310985654272;Rojafilosofa;1131300310985654272;0;0;0;0
874640706974883840;GrsClases;874640706974883840;0;0;0;0
58102591;mardenueces;58102591;0;0;0;0
198588127;loly_oma;198588127;0;0;0;0
1319345985336823814;IrisSepulveda17;7668952;35.7751;31.0051;0;33.2198
348457782;franck_pfan;348457782;0;0;0;0
960141349633871873;Patita2811;960141349633871873;0;0;0;0
1099441426520305664;elabordec;7668952;28.5714;35.7143;0;35.7143
2348833040;Heltali1965;2348833040;0;0;0;0
854469612091703301;lostenss;854469612091703301;0;0;0;0
1135638299446599681;galigordofunky;1135638299446599681;0;0;0;0
2999965633;clau_echamorro;2999965633;0;0;0;0
478394665;gabologon;478394665;0;0;0;0
158980291;MarcosMadridCh;158980291;0;0;0;0
81138675;Tonita1972;81138675;0;0;0;0
322112447;javieralvarado8;322112447;0;0;0;0
1321503035877691393;dianimar_;1321503035877691393;0;0;0;0
313539453;videos_y_musica;313539453;0;0;0;0
517700261;paulaborquezi;517700261;0;0;0;0
1279091227976257536;RevJuridicas;1279091227976257536;0;0;0;0
38966751;Aysbrotha;38966751;0;0;0;0
769283866112716800;M_Elmazlouzi;769283866112716800;0;0;0;0
52108609;fcordovm;52108609;0;0;0;0
52517122;clau_elki;52517122;0;0;0;0
461711932;jocescarate;461711932;0;0;0;0
349043979;Faisan53Luis;349043979;0;0;0;0
290472726;mvga_m;290472726;0;0;0;0
1075893286194372608;ANEC_Chile;1075893286194372608;0;0;0;0
4428531465;valmierz;4428531465;0;0;0;0
118503965;cariito_00;118503965;0;0;0;0
1158492332;ruminotpaz;1158492332;0;0;0;0
942908881281445888;RubenZu13050461;942908881281445888;0;0;0;0
1392230817796169730;Estrell01752712;7668952;32.8032;28.4294;0;38.7674
122271311;Gittyss;122271311;0;0;0;0
