CFC_ID;Lider_User_Name;Num_Miembros;Izquierda;Derecha;Libertario;Centro;Miembros;Arcos
18500852;MikeyWax;1;0;0;0;0;18500852;
964279726503231490;Yolanda_010;1;0;0;0;0;964279726503231490;
1369346197006282752;provoste_vidal;1;0;0;0;0;1369346197006282752;
107154165;andynar;1;0;0;0;0;107154165;
563099660;elenasilva24;1;0;0;0;0;563099660;
348090653;EnelClientesCL;1;0;0;0;0;348090653;
154734909;JPHISPANO;1;0;0;0;0;154734909;
215649788;underboy_ch;1;0;0;0;0;215649788;
52846778;hombredelcartel;1;0;0;0;0;52846778;
74885536;rosilvab;1;0;0;0;0;74885536;
214273458;GermanCastilloM;1;0;0;0;0;214273458;
179977540;carugalde;1;0;0;0;0;179977540;
1168851142102724609;marilopezxx;1;0;0;0;0;1168851142102724609;
99441518;yasnabama;1;0;0;0;0;99441518;
1397735375221764098;Mario02269244;1;0;0;0;0;1397735375221764098;
1428331428;ciclismo_x;1;0;0;0;0;1428331428;
1210307286687768589;pb3_lab;1;0;0;0;0;1210307286687768589;
2257920948;locosxlabici1;1;0;0;0;0;2257920948;
334257449;_PROVOZ;1;0;0;0;0;334257449;
2444361086;Fecichile_;1;0;0;0;0;2444361086;
2487259912;Clau_LaraS;1;0;0;0;0;2487259912;
1398353256586395651;Merca36320706;1;0;0;0;0;1398353256586395651;
1394799307547717637;CRYPTOFREAKS2;1;0;0;0;0;1394799307547717637;
1260072685058605056;SadafR12;1;0;0;0;0;1260072685058605056;
1479600822;REUoutdoor;1;0;0;0;0;1479600822;
89089518;Sudandola;1;0;0;0;0;89089518;
1397869636612395008;LeslieU99018671;1;0;0;0;0;1397869636612395008;
3012823978;reservarcompra;1;0;0;0;0;3012823978;
60943440;DiegoPatricioFC;1;0;0;0;0;60943440;
321493429;yas_silvan;1;0;0;0;0;321493429;
3305871177;CarozziHablemos;1;0;0;0;0;3305871177;
935953001822457856;respondetucapel;1;0;0;0;0;935953001822457856;
1397798405079027716;GraceGr28698661;1;0;0;0;0;1397798405079027716;
2481445395;comounpescado;1;0;0;0;0;2481445395;
3129846633;lore_Fontecilla;1;0;0;0;0;3129846633;
105954490;Osorninoo;1;0;0;0;0;105954490;
1382418220762738690;NFTchn;1;0;0;0;0;1382418220762738690;
170076543;CanutoRebelde;1;0;0;0;0;170076543;
227377721;Erick_Fuentes_;1;0;0;0;0;227377721;
872145431970680832;cmerinojara;1;0;0;0;0;872145431970680832;
1398283418161528832;Sebasti60051007;1;0;0;0;0;1398283418161528832;
360341311;MiguelGarayM;1;0;0;0;0;360341311;
40528442;irockwithjonas;1;0;0;0;0;40528442;
913877334943510530;abed985817;1;0;0;0;0;913877334943510530;
2450701819;Postematico;1;0;0;0;0;2450701819;
4878880365;lcanosilva;1;0;0;0;0;4878880365;
1347653808705462272;BedrinanaLuis;1;0;0;0;0;1347653808705462272;
945814484;javierinsu;1;0;0;0;0;945814484;
1350445140259831808;indignados__cl;1;0;0;0;0;1350445140259831808;
1349303036825505793;Chantellejerko2;1;0;0;0;0;1349303036825505793;
1124304515530883078;baezaquintana;1;0;0;0;0;1124304515530883078;
1387055898250543104;Paolita87666647;1;0;0;0;0;1387055898250543104;
987007074914766848;ramitassalas;1;0;0;0;0;987007074914766848;
756189765070909440;josy2789;1;0;0;0;0;756189765070909440;
1291356799178870784;Thezkotty27;1;0;0;0;0;1291356799178870784;
1220180243396399108;Nicols28778200;1;0;0;0;0;1220180243396399108;
